,Unnamed: 0,name,categories,lat,lng
0,0,Food for Thought,Café,18.932030548104752,72.83166719005115
1,1,Royal China,Chinese Restaurant,18.938715239156295,72.83293313173236
2,2,Shree Thaker Bhojnalay,Indian Restaurant,18.951216985262228,72.82832591412117
3,3,The Bayview - Hotel Marine Plaza,Italian Restaurant,18.93187609686589,72.82303056777508
4,4,"The Oriental Blossom, Marine Plaza",Asian Restaurant,18.93160511562937,72.82312062346041
5,5,Pizza By The Bay,Pizza Place,18.933515653026745,72.823924806057
6,6,Yazdani Bakery,Bakery,18.93319143074909,72.83359064269625
7,7,The Sassy Spoon,Diner,18.928425922468104,72.82251196171583
8,8,Kebab Korner,Indian Restaurant,18.935090246815065,72.82402901317175
9,9,Trishna,Seafood Restaurant,18.92861876748316,72.83235598103687
10,10,Britannia & Co.,Parsi Restaurant,18.934683361330226,72.84018287062959
11,11,The J,Fast Food Restaurant,18.9303738249949,72.82673394356861
12,12,Mahesh Lunch Home,Indian Restaurant,18.934120608422297,72.83382111973616
13,13,"Long & Short, The GastroBar",Gastropub,18.93505404880945,72.82401389773644
14,14,Café Mondegar,Café,18.92421903757405,72.83210608191361
15,15,Pratap Lunch Home,Seafood Restaurant,18.933605218629197,72.83285417004964
16,16,Bhagat Tarachand Restaurant,Indian Restaurant,18.951801999721894,72.83048598110027
17,17,Dark Temptations,Bakery,18.94299933727028,72.82810953771249
18,18,Gulshan-E-Iran,Middle Eastern Restaurant,18.94811792666807,72.83542708588256
19,19,Umame,Japanese Restaurant,18.931966467648085,72.8282430677147
20,20,Salt Water Cafe,Italian Restaurant,18.9335,72.8263
21,21,Palms - Catholic Gymkhana,Restaurant,18.94975999002401,72.82001852587976
22,22,Status,Indian Restaurant,18.924561999999998,72.821526
23,23,H Parmesha Fast Food Corner,Fast Food Restaurant,18.93039231560749,72.83354934229565
25,25,India Jones,Restaurant,18.927878457481015,72.82066393146418
26,26,Golden Dragon,Chinese Restaurant,18.9284790979465,72.8324934462907
27,27,The Nutcracker,Breakfast Spot,18.928508923890604,72.83368287546709
28,28,Kala Ghoda Café,Café,18.92851509203669,72.83235419845913
29,29,Joss,Japanese Restaurant,18.927955354996875,72.8318478536963
30,30,Café at the NCPA,Café,18.925256842842924,72.81957843982663
31,31,Sher-E-Punjab,Indian Restaurant,18.937943835353455,72.83785334602881
32,32,Narayan Dosa,Fast Food Restaurant,18.95744533870669,72.81325090399687
33,33,PizzaExpress Colaba,Pizza Place,18.923899084049445,72.83345215349688
34,34,The Table,New American Restaurant,18.924099,72.833097
35,35,Swati Snacks,Chaat Place,18.92443615043811,72.82475613548655
36,36,145 Kala Ghoda,Café,18.928088355756284,72.83184438252898
37,37,Leopold Café,Café,18.922827901254987,72.83170853612214
38,38,Le15 Cafe,Café,18.923709,72.832735
39,39,Wasabi by Morimoto,Japanese Restaurant,18.9220118580548,72.83366279313577
40,40,Fenix Oberoi,Restaurant,18.927143611688816,72.82014258477373
41,41,New Martin,Indian Restaurant,18.91862420333764,72.82951216623857
43,43,The Pantry,Deli / Bodega,18.92877469650321,72.8322564768822
44,44,Frangipani,Mediterranean Restaurant,18.92790952638596,72.8206791347405
45,45,Surti Hotel,Food,18.952567249812084,72.82990537116653
46,46,Vinay Health Home,Fast Food Restaurant,18.95301089843378,72.82512881320312
47,47,Shalimar Restaurant,Indian Restaurant,18.958180122249885,72.83236650763473
48,48,Café Basilico,Diner,18.91860901934294,72.83048426934867
49,49,The Malabar Hill Club,Restaurant,18.954392250210518,72.80351039327509
50,50,Sahakari Bhandar Restaurant,Indian Restaurant,18.92476701843273,72.83195134644758
51,51,Thai Pavilion,Thai Restaurant,18.91424639346148,72.82108040339331
52,52,Khyber Restaurant,Indian Restaurant,18.928133650077747,72.83154069845135
53,53,Patel Restaurant,Restaurant,18.949797549178328,72.83465488970278
54,54,Indigo Delicatessen,Breakfast Spot,18.92394621260998,72.8333480076383
55,55,Jaffer Bhai's Delhi Darbar,Indian Restaurant,18.96141719721617,72.82337928586074
56,56,Souk,Mediterranean Restaurant,18.92243391728216,72.83393382078587
57,57,Pa Pa Ya (Colaba),Asian Restaurant,18.921456,72.832337
58,58,Delhi Darbar,Indian Restaurant,18.961580689107755,72.82352680100172
59,59,HQ (Headquarters),Café,18.925159164472962,72.83203644554656
60,60,Al Rehmani,Indian Restaurant,18.961842975722288,72.83181783827641
61,61,Cream Centre,Mexican Restaurant,18.955504728100184,72.81318601567378
62,62,Badshah,Fast Food Restaurant,18.947243551536065,72.833455829912
63,63,La Patisserie,Bakery,18.922033034140203,72.83312813842655
64,64,Soam,Indian Restaurant,18.957492031614574,72.80888354503129
65,65,Revival Indian Thali,Indian Restaurant,18.946895867988893,72.8327530932732
66,66,Crystal,Indian Restaurant,18.955930610388766,72.8120951495242
67,67,Kobe Sizzlers,Steakhouse,18.95660470617759,72.81346491373459
68,68,Swati Snacks,Indian Restaurant,18.96644170253803,72.81353124991814
69,69,Sukhsagar,Snack Place,18.956065697702588,72.81341376098591
70,70,Golden Dragon,Chinese Restaurant,18.92193304187839,72.83366609810824
71,71,Catholic Gymkhana,Gastropub,18.94968068708717,72.82033307360804
72,72,Sarvi,Middle Eastern Restaurant,18.96685250452282,72.82922116407411
73,73,Govinda's Vegetarian Restaurant,Indian Restaurant,18.95745164319056,72.80999366135798
74,74,Santosh Sagar,Fast Food Restaurant,18.96117681964424,72.80142469483619
75,75,symphony,Restaurant,18.96334673956512,72.81025132774622
76,76,Café New York,Gastropub,18.958107623967862,72.8109995260391
77,77,Konkan Cafe,Indian Restaurant,18.914361295310027,72.82105900117253
78,78,Haji Tikka,BBQ Joint,18.960212639536078,72.83069898958891
79,79,Govindas,Indian Restaurant,18.957467400710087,72.8098425904172
80,80,Theobroma,Bakery,18.97073491400404,72.80981586266414
81,81,Sushi and More,Japanese Restaurant,18.96513699842837,72.80395157815202
82,82,B. Merwan & Co.,Bakery,18.96246347209398,72.81600477909575
83,83,Dakshinayan,Indian Restaurant,18.947881215816015,72.79735662773038
84,84,Mama Mia!,Breakfast Spot,18.957481183215908,72.8131199066688
85,85,Amrut Punjab,Restaurant,18.96793245875093,72.82027341075366
86,86,Francesco's Pizzeria,Pizza Place,18.96478038379596,72.80463029311528
87,87,Sigdi Restaurant,Indian Restaurant,18.970522543245266,72.83103364811019
88,88,Celejor,Bakery,18.97584443166727,72.8236785218938
89,89,Gustoso,Pizza Place,18.964198,72.807726
90,90,Chinese Palace,Chinese Restaurant,18.972650375746568,72.81418652853344
91,91,Oh! Calcutta,Bengali Restaurant,18.972467526216324,72.81563801608259
92,92,Afzal Restaurant,Indian Restaurant,18.969849700329622,72.84066353875076
93,93,Maji Sagar,Fast Food Restaurant,18.97268335213164,72.81468320244811
94,94,Tulips Ristorante,Café,18.964929029677727,72.80413744820792
95,95,210°Veg Gourmet Bakery,Bakery,18.96182828788107,72.80213713645934
96,96,Sun Veg Restaurant,Indian Restaurant,18.966977532379676,72.80405511778962
97,97,Intercontinental Paanwala,Food Truck,18.94610534071887,72.80039895568976
98,98,Rahul's Food Court,Fast Food Restaurant,18.948477321731232,72.79778066933812
99,99,The Sun,Vegetarian / Vegan Restaurant,18.954980432564653,72.79852347345025
100,100,Santosh sagar,Indian Restaurant,18.955049882180525,72.79769825673128
101,101,Tart,Bakery,18.963941946381343,72.80344009184546
102,102,Delifresh,Bakery,18.964983862636554,72.80399322509766
103,103,Plate & Pint French Ristorante,French Restaurant,18.965628,72.80364499999999
104,104,Mafco,Fast Food Restaurant,18.96592115473257,72.8036624619496
105,105,Mafco Farm Fair ¤,Chinese Restaurant,18.965941974972885,72.80364103301606
106,106,Howra,Café,18.96627155517114,72.80405177692147
107,107,Ministry of Salads,Salad Place,18.966871512996093,72.80357335714056
108,108,Rajesh Frankie,Fast Food Restaurant,18.968583878022176,72.80323234939749
